id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
6,n,-n,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,448,5,2,1095788.127808,-1.057989471577847,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1046,5,2,1925793.604477,-1.7532260919100826,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,200,1.0,208,5,2,565570.274722,-0.699948134109729,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,50,1.0,6,5,2,132707.606491,-0.45337161789506875,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,848,5,2,1212450.673083,-1.7380517807509435,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,530,5,2,1274078.7402,-2.4226785212472324,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,50,1.0,646,5,2,218557.86614,-0.9068706944179085,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,50,1.0,746,5,2,250279.315447,-0.9322511195557938,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,330,5,2,572670.914522,-2.4279428920278208,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,200,200,1.0,402,5,2,1062847.428762,-1.057675945382884,,,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,200,1.0,242,5,2,584328.703104,-1.0438155816065462,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,200,1.0,372,5,2,551170.476476,-0.7696275327030604,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,50,50,1.0,44,5,2,139137.779103,-3.3232698608349778,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,50,1.0,604,5,2,213543.33265,-1.5111969732540602,,,0
