id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
5,n,-n,0.5,10.0,True,50,100,100,1.0,50,50,1.0,623,5,2,310355.956279,-0.904502619267561,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,100,100,1.0,50,50,1.0,753,5,2,347195.932375,-0.5626724171780483,,,0
6,n,-n,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,448,5,2,1095788.127808,-1.057989471577847,,,0
4,n**5,-n**5,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1761,5,2,1569391.562791,-1.4091222776509584,1528.8601165858217,302.4138397966605,0
2,n,-n,0.5,100.0,True,50,20,100,1.0,50,50,1.0,23,5,2,182666.975121,-0.9037134104480312,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1046,5,2,1925793.604477,-1.7532260919100826,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,200,1.0,208,5,2,565570.274722,-0.699948134109729,,,0
14,n**3/0.5,-n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,50,400,1.0,1854,5,2,1761635.5849,-2.4819025046095136,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,50,1.0,6,5,2,132707.606491,-0.45337161789506875,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,848,5,2,1212450.673083,-1.7380517807509435,,,0
3,n**2,-n**2,0.5,100.0,True,50,20,100,1.0,50,200,1.0,225,5,2,600541.260454,-1.1753243543210121,19735.25078911711,2188.214067843094,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,530,5,2,1274078.7402,-2.4226785212472324,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,True,50,20,100,1.0,50,400,1.0,1869,5,2,1855655.168739,-1.2134945543436764,49983.94946222161,6147.391588716695,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,50,1.0,646,5,2,218557.86614,-0.9068706944179085,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,50,1.0,746,5,2,250279.315447,-0.9322511195557938,,,0
4,n**5,-n**5,0.5,100.0,True,50,20,100,1.0,200,200,1.0,425,5,2,1471075.847768,-1.468935219898724,1405.2221098026116,301.3782006225377,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,330,5,2,572670.914522,-2.4279428920278208,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,400,1.0,1560,5,2,4111919.915694,-1.8273435541538232,,,0
9,n**2+20,-n**2+20,0.5,1000.0,True,50,100,100,1.0,400,400,1.0,1427,5,2,9157352.803858,-1.1658526690826156,18854.97698982094,1953.5620299315724,0
1,n**(1/2),-n**(1/2),0.5,100.0,True,50,100,100,1.0,50,50,1.0,589,5,2,415213.112536,-0.3010922026386784,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,200,200,1.0,402,5,2,1062847.428762,-1.057675945382884,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,400,1.0,1816,5,2,1692581.200413,-1.7863280995184596,,,0
13,n**3,-n**3,0.5,100000000.0,True,50,100,100,1.0,50,400,1.0,1655,5,2,3520906.076673,-1.3752469120061304,5890.612770170861,1187.9634707360856,0
6,n,-n,0.5,1000.0,True,50,20,100,1.0,50,50,1.0,69,5,2,442104.844,-0.8940207112996799,,,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,200,1.0,242,5,2,584328.703104,-1.0438155816065462,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,200,1.0,372,5,2,551170.476476,-0.7696275327030604,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,400,1.0,1833,5,2,1941179.214903,-1.0150495731047495,132226184.13971241,1420343.2531266767,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,400,1.0,1638,5,2,4239300.959385,-2.5470813658397575,,,0
