id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1040,5,2,1866753.800143,-1.7563492907918792,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,True,50,20,100,1.0,50,200,1.0,371,5,2,656913.698693,-1.0512150273437597,1723289517.686101,38163291.68848455,0
13,n**3,-n**3,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,707,5,2,281506.533495,-1.3323111188122112,6955.4605021217885,1240.484409022616,0
5,n,-n,0.5,10.0,True,50,20,100,1.0,50,400,1.0,1767,5,2,1966985.925669,-1.0147217465067098,84215312.82346225,899195.4238604559,0
6,n,-n,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,640,5,2,227482.356523,-0.9068106201785775,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,400,1.0,1782,5,2,1803175.446689,-1.043982577367763,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,400,1.0,1820,5,2,1740101.561641,-1.8264700013880781,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,682,5,2,219868.035176,-2.115456975064897,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,326,5,2,584108.216479,-2.442277778378149,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,50,1.0,750,5,2,254762.557051,-0.9339676542523104,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,True,50,100,100,1.0,400,400,1.0,1421,5,2,9821896.15677,-1.1611136301200835,213569.14708143327,22103.575915291636,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,200,1.0,303,5,2,676199.195493,-1.4352680546370753,21412.65316932407,4707.027534754004,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,50,400,1.0,1748,5,2,1716695.96948,-1.8218211225336882,,,0
6,n,-n,0.5,1000.0,True,50,20,100,1.0,50,200,1.0,261,5,2,644588.292237,-1.009992759664883,267504494.63050473,1985748.3531715446,0
4,n**5,-n**5,0.5,100.0,True,50,100,100,1.0,400,400,1.0,1375,5,2,10398391.296174,-1.4154464930777126,1328.0043937710225,252.55839906068866,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,200,200,1.0,956,5,2,1851995.66606,-0.5262375181561108,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,278,5,2,597712.198173,-1.710168215169241,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,True,50,100,100,1.0,200,200,1.0,1129,5,2,2152846.060452,-1.0633607483384653,1762015052.1880972,47471418.93071532,0
2,n,-n,0.5,100.0,True,50,100,100,1.0,200,200,1.0,973,5,2,1756941.108872,-1.0174602675925541,50109853.15255556,699773.2050535307,0
