id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,400,1.0,1822,5,2,4530500.44676,-2.5306945992017016,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,True,50,20,100,1.0,50,400,1.0,1863,5,2,3842349.87995,-1.2230754486935527,49662.3763966582,6475.332653192071,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,20,100,1.0,50,400,1.0,1862,5,2,4076000.53002,-2.338104127990642,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,400,1.0,1823,5,2,4321422.545873,-1.4577551322111797,20800.31639866868,4782.091787717613,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,400,1.0,1762,5,2,2842941.896685,-1.1050940805063214,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,True,50,20,100,1.0,50,400,1.0,1873,5,2,4131314.010389,-1.140054239798886,3059542.260989065,222541.23409954857,0
2,n,-n,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1733,5,2,2780953.888468,-1.0242971805264343,10009170.697126953,191253.13688028223,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,50,400,1.0,1732,5,2,2845723.649179,-1.08654427396451,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,20,100,1.0,50,400,1.0,1872,5,2,2919186.423138,-1.9321338372844084,,,0
5,n,-n,0.5,10.0,True,50,20,100,1.0,50,400,1.0,1763,5,2,2903260.184683,-1.0258789831347452,15199247.138127979,298311.6258067322,0
9,n**2+20,-n**2+20,0.5,1000.0,True,50,20,100,1.0,50,400,1.0,1803,5,2,3632057.106829,-1.1907710523937098,20466.139830183518,2585.711321112708,0
14,n**3/0.5,-n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,50,400,1.0,1852,5,2,4306870.999633,-2.540826114406225,,,0
